,_latitude,_longitude,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,283_fulfill_needs,305_electricity_bill_store,306_water_bill_store
0,19.0486653032,-98.1980873644,1,5,4,2,250,100,18,yes,no,no
1,19.0487039671,-98.198058866,2,5,3,0,300,100,17,yes,no,no
2,19.0459141241,-98.2017408684,2,9,12,2,500,300,30,yes,no,no
3,19.04858956,-98.1981215626,3,2,0,1,280,150,24,yes,yes,yes
4,19.0441482241,-98.1988253072,2,2,5,1,250,150,22,yes,no,no
5,19.0441976644,-98.198793456,2,3,0,0,300,170,20,yes,no,no
6,19.04405124,-98.19873679,1,2,3,0,200,150,21,yes,yes,yes
7,19.0459049334,-98.2033458352,4,3,10,5,200,100,16,yes,no,no
8,19.0024073643,-98.2704912499,1,3,0,1,200,75,29,yes,no,no
9,19.004165149,-98.2660444826,2,0,0,0,200,50,51,yes,yes,yes
10,19.0042716616,-98.2668618858,1,0,0,0,0,0,33,yes,no,no
11,19.0042903647,-98.2668820024,3,4,2,1,400,250,36,no,yes,yes
12,19.0043702491,-98.2667257637,1,3,0,0,100,50,46,yes,no,no
13,19.004367079,-98.2662553713,4,3,1,0,200,100,37,yes,yes,yes
14,19.004167685,-98.2662436366,2,6,3,0,300,200,27,yes,yes,yes
15,19.0042247453,-98.2663519308,1,2,3,1,300,100,49,yes,no,yes
16,19.0041420078,-98.26616887,3,2,0,0,400,150,19,yes,yes,yes
17,19.002386442,-98.2710937411,1,5,3,2,300,100,39,yes,yes,yes
18,19.0023794679,-98.2706682757,1,2,1,0,180,100,57,yes,yes,yes
19,19.002099869,-98.2705760747,3,4,2,0,300,100,22,yes,no,no
20,19.0300162269,-98.249848634,5,0,3,25,50,50,48,yes,no,no
21,19.0279382728,-98.2503284141,2,0,0,0,60,0,30,yes,no,no
22,19.0279744058,-98.2500065491,1,7,25,0,120,80,22,yes,yes,no
23,19.0275401749,-98.2498218119,3,5,15,20,60,60,28,yes,yes,no
24,19.02884445,-98.25000957,1,2,4,15,50,50,50,yes,yes,no
25,19.0281198888,-98.2496119291,3,2,3,0,40,20,48,yes,yes,no
26,19.0473653047,-98.1982878596,1,0,0,10,0,0,30,yes,no,no
27,19.0445149066,-98.1982848421,1,5,25,0,80,300,25,yes,no,no
28,19.0460668806,-98.1973477453,3,0,0,6,20,0,60,yes,no,no
29,19.0448429235,-98.1992638484,3,2,8,2,50,500,35,yes,yes,yes
30,19.0449154992,-98.1993785128,2,2,5,0,30,200,40,yes,no,no
31,19.0460329699,-98.1999970973,1,6,15,0,25,50,30,yes,no,no
32,19.0116707934,-98.2210870554,1,1,3,0,30,20,30,yes,no,no
33,19.0116381992,-98.2210469479,1,3,8,2,30,15,19,yes,no,no
34,19.0116294752,-98.2210490592,1,2,3,0,20,10,24,no,yes,yes
35,19.011644,-98.221072,2,0,1,0,15,20,26,yes,no,no
36,19.0100632911,-98.2197872731,2,0,0,0,20,10,16,yes,no,no
37,19.0100662185,-98.2197864233,2,0,0,0,10,5,60,yes,no,no
38,19.010710981,-98.2194485039,1,3,1,0,15,7,38,no,no,no
39,19.010693258,-98.2194346992,1,2,3,0,25,15,42,yes,no,no
40,19.0126305197,-98.2184096353,1,2,3,2,20,10,23,yes,no,yes
41,19.022339919,-98.2609467333,3,1,2,0,20,20,20,yes,no,no
42,19.0219640927,-98.260543889,7,0,0,0,10,10,40,yes,no,no
43,19.0211128493,-98.2605802477,1,2,1,0,50,20,25,yes,no,no
44,19.0205418266,-98.2608467958,1,10,15,0,30,20,20,yes,yes,no
45,19.0294177344,-98.2575983656,2,3,7,2,10,15,37,yes,yes,yes
46,18.9990026934,-98.2733638957,1,5,9,0,0,50,35,yes,no,no
47,18.9990014254,-98.2733256742,1,3,5,2,0,20,42,yes,no,no
48,19.0007116948,-98.2721448317,1,5,5,2,20,25,25,yes,yes,yes
49,19.01854,-98.217873,4,2,2,0,30,30,20,yes,yes,yes
50,19.0517894414,-98.1975653395,5,0,0,0,250,50,53,yes,no,no
51,19.0365366,-98.2602355,3,0,0,0,30,25,53,yes,no,no
52,19.036780491,-98.2602026314,2,1,0,0,25,20,17,yes,no,no
53,19.0369820645,-98.2605402544,2,1,0,0,20,15,14,yes,no,no
54,19.0365440539,-98.2602773979,2,2,1,0,50,0,15,yes,yes,yes
55,19.0367405566,-98.2602193952,2,2,0,0,35,0,16,yes,yes,yes
