,_latitude,_longitude,number_of_operators,number_of_available_trolleys,serving_customer,maximum_number_of_vehicles_in_the_traffic_jam
0,19.0213764,-98.2603919,1,0,1.0,25.0
1,19.0211113,-98.2605677,1,0,1.0,25.0
2,19.0352214575,-98.2670348883,2,0,1.0,25.0
3,19.0817899522,-98.2985606801,2,0,1.0,25.0
4,19.0817705579,-98.2985890313,1,0,1.0,25.0
5,19.0817256044,-98.298637931,1,0,1.0,25.0
6,19.0817518281,-98.2985935216,2,0,1.0,25.0
7,19.0817752594,-98.2984725221,1,0,1.0,25.0
8,19.0818395481,-98.2985965439,1,0,1.0,25.0
9,19.0817899522,-98.2985606801,1,0,1.0,25.0
10,19.0126948166,-98.2173483074,2,2,1.0,25.0
11,19.0138632214,-98.2191775739,2,2,1.0,25.0
12,19.0111425308,-98.2191078365,2,2,1.0,25.0
13,19.012508112,-98.2183615118,2,2,1.0,25.0
14,19.0129208272,-98.2180674747,2,1,1.0,25.0
15,19.0253918244,-98.2491616532,3,7,1.0,25.0
16,19.0128892,-98.2165692,1,1,1.0,25.0
17,19.0146469,-98.2208008,1,1,1.0,25.0
18,19.0156234,-98.2208476,1,1,1.0,25.0
19,19.0160351,-98.2206938,2,1,1.0,25.0
20,19.0159007,-98.220915,1,0,1.0,25.0
21,19.0159239,-98.220821,2,1,1.0,25.0
22,19.0159116,-98.2208086,1,1,1.0,25.0
23,19.0167658,-98.2203102,1,0,1.0,25.0
24,19.0170596,-98.220136,2,1,1.0,25.0
25,19.0182381,-98.2193493,2,1,1.0,25.0
26,19.0191525,-98.218854,1,1,1.0,25.0
27,19.0345948607,-98.2646732032,1,1,1.0,25.0
28,19.0346376481,-98.2645528391,1,0,1.0,25.0
29,19.0350138599,-98.2660515234,2,0,1.0,25.0
30,19.0135554303,-98.2286454365,2,0,1.0,25.0
31,19.0122120468,-98.2293974608,1,0,1.0,25.0
32,19.0121042713,-98.2295010611,1,0,1.0,25.0
33,19.0109025703,-98.2300888002,3,0,1.0,25.0
34,19.0097430204,-98.2306614518,1,0,1.0,25.0
35,19.0101180206,-98.2305008546,5,1,1.0,25.0
36,19.010103439,-98.2304180413,3,0,1.0,25.0
37,19.0101628,-98.2304726,1,0,1.0,25.0
38,19.0103310381,-98.2303171232,1,0,1.0,25.0
39,19.0097040304,-98.2306021079,3,1,1.0,25.0
40,19.0120664,-98.2295882,1,0,1.0,25.0
41,19.013542434,-98.2288533077,2,0,1.0,25.0
42,19.018115,-98.238885,3,0,1.0,25.0
43,19.017197,-98.217464,1,0,1.0,25.0
44,19.0118701,-98.2296253,1,0,1.0,25.0
45,19.0107653,-98.2300307,2,2,1.0,25.0
46,19.0116565,-98.2282817,1,0,1.0,25.0
47,19.021797,-98.2407889,2,3,1.0,25.0
48,19.0204591979,-98.2155985013,2,2,1.0,25.0
49,19.0347095943,-98.2630829886,1,0,1.0,25.0
50,19.0344747389,-98.2637874037,1,0,1.0,25.0
51,19.0347847099,-98.2657675445,2,0,1.0,25.0
52,19.0351780363,-98.2668649033,1,0,1.0,25.0
53,19.0351564842,-98.2668179646,1,0,1.0,25.0
54,19.0351669433,-98.2669436932,2,0,1.0,25.0
55,19.0122691044,-98.2294755802,3,0,1.0,25.0
56,19.0112842246,-98.2277395204,2,0,1.0,25.0
57,19.0112246,-98.2283525,1,0,1.0,25.0
58,19.0143691262,-98.2266750187,2,0,1.0,25.0
59,19.0133709455,-98.2273951918,2,0,1.0,25.0
60,19.0143802205,-98.2266652957,3,1,1.0,25.0
61,19.0133059637,-98.2272865623,3,1,1.0,25.0
62,19.0113431844,-98.2295728102,1,0,1.0,25.0
63,19.0138540289,-98.2272020727,1,1,1.0,25.0
64,19.0134723805,-98.2272312418,4,0,1.0,25.0
65,19.0109862554,-98.229951337,1,0,1.0,25.0
66,19.0120662329,-98.2295962796,1,0,1.0,25.0
67,19.0114997765,-98.2281636447,2,0,1.0,25.0
68,19.0105491271,-98.2302772254,2,0,1.0,25.0
69,19.0099902733,-98.2304793969,4,0,1.0,25.0
70,19.0041219076,-98.2662428447,1,0,1.0,25.0
71,19.0033314286,-98.267331566,2,1,1.0,25.0
72,18.9993711135,-98.2740535711,2,0,1.0,25.0
73,18.9996500002,-98.2749880729,1,0,1.0,25.0
74,19.0021041472,-98.2712957656,2,0,1.0,25.0
75,19.0220254,-98.2606989,1,1,1.0,25.0
76,19.0192244,-98.262566,2,1,1.0,25.0
77,19.0191569,-98.2625238,3,1,1.0,25.0
78,19.0198062,-98.2612393,2,2,1.0,25.0
79,19.0202646,-98.2610422,2,1,1.0,25.0
80,19.0283362,-98.2592099,2,1,1.0,25.0
81,19.0281359,-98.2589611,2,1,1.0,25.0
82,19.0274674,-98.2587771,1,0,1.0,25.0
83,19.0272351,-98.259044,2,1,1.0,25.0
84,19.0248721,-98.2608944,4,1,1.0,25.0
85,19.0244557,-98.2611876,2,0,1.0,25.0
86,19.0239147,-98.2614525,1,0,1.0,25.0
87,19.0238314,-98.2614753,1,0,1.0,25.0
88,19.0220967,-98.2607205,1,0,1.0,25.0
89,19.0222222,-98.2610785,2,1,1.0,25.0
90,19.0226852,-98.261572,2,1,1.0,25.0
91,19.0534049,-98.2339495,1,0,1.0,25.0
92,19.0535269,-98.2339006,2,0,1.0,25.0
93,19.0523632,-98.220902,2,0,1.0,25.0
94,19.0533108,-98.2205203,2,1,1.0,25.0
95,19.0549013,-98.2203338,3,0,1.0,25.0
96,19.0515491,-98.2205726,1,0,1.0,25.0
97,19.0527507,-98.234267,1,0,1.0,25.0
98,19.0459163426,-98.2295282185,1,0,1.0,25.0
99,19.0457848198,-98.2272607461,1,0,1.0,25.0
100,19.0456596354,-98.2269284874,1,0,1.0,25.0
101,19.0452653831,-98.2254264504,2,0,1.0,25.0
102,19.0451332259,-98.2257308811,1,1,1.0,25.0
103,19.0450188164,-98.2255736366,1,0,1.0,25.0
104,19.0448191542,-98.2250211015,2,1,1.0,20.0
105,19.0445684669,-98.2247220352,2,2,1.0,15.0
106,19.0408173025,-98.2233765721,3,0,1.0,15.0
107,19.0410153849,-98.2237172127,2,0,1.0,15.0
108,19.0413243929,-98.2244373858,1,0,1.0,5.0
109,19.0416283295,-98.2250670344,2,0,1.0,5.0
110,19.0420412893,-98.225950487,1,0,1.0,5.0
111,19.0429118927,-98.2277365029,1,1,1.0,5.0
112,19.041807712,-98.2274310663,2,0,1.0,5.0
113,19.0417417905,-98.2272677869,1,0,1.0,5.0
114,19.0408920985,-98.2258056477,1,0,1.0,5.0
115,19.0412074453,-98.2257412747,2,1,1.0,5.0
116,19.0423183191,-98.1963503167,3,2,1.0,5.0
117,19.0487261062,-98.1993785199,1,0,1.0,5.0
118,19.0473490037,-98.1964384994,3,2,1.0,5.0
119,19.0480351673,-98.1963600948,2,0,1.0,5.0
120,19.0481925477,-98.1963129156,2,1,1.0,5.0
121,19.0485133831,-98.1970228025,2,1,1.0,5.0
122,19.04869169,-98.1972448156,1,0,1.0,5.0
123,19.049461945,-98.1989864913,1,0,1.0,5.0
124,19.0496978956,-98.2009965555,3,0,1.0,5.0
125,19.0493503362,-98.2003566075,1,0,1.0,5.0
126,19.0487777287,-98.1993302403,2,0,1.0,5.0
127,19.0485562837,-98.1990660354,2,0,1.0,5.0
128,19.0485926937,-98.1981829238,1,1,1.0,5.0
129,19.0486103052,-98.2001090737,1,0,1.0,5.0
130,19.0463827271,-98.1936070696,2,0,1.0,5.0
