,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,145_number_direct_competitors,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,62_frequency_only_services,103_number_own_fridges,24_burnout,172_supplier_frequency,163_number_high_perishable_products,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_
0,19.0493900908,-98.1977276132,3,4.0,95,1.0,1.0,4.0,1.0,7.0,5.0,1.0,4.0,4.0,4.0,2.0,no,no,yes
1,19.0449551147,-98.1936556846,2,4.0,86,1.0,1.0,4.0,1.0,7.0,5.0,1.0,4.0,4.0,1.0,2.0,no,no,yes
2,19.049513054,-98.1967942044,3,4.0,87,0.0,0.0,6.0,1.0,7.0,5.0,1.0,4.0,4.0,3.0,3.0,no,no,no
3,19.0478929748,-98.1956328079,3,0.0,98,0.0,0.0,2.0,1.0,7.0,5.0,1.0,5.0,4.0,2.0,0.0,no,no,no
4,19.0451157951,-98.20214957,0,5.0,93,0.0,0.0,6.0,1.0,7.0,5.0,1.0,5.0,4.0,2.0,3.0,no,no,no
5,19.046021086,-98.2037023746,3,8.0,130,2.0,0.0,4.0,1.0,7.0,5.0,1.0,2.0,4.0,7.0,0.0,no,yes,yes
6,19.00916385,-98.2203581651,2,4.0,10,2.0,2.0,4.0,1.0,7.0,5.0,1.0,2.0,4.0,1.0,4.0,yes,no,no
7,19.0124508133,-98.2174167038,1,4.0,6,1.0,1.0,1.0,1.0,7.0,5.0,1.0,2.0,4.0,1.0,4.0,yes,no,no
8,19.0125966,-98.2209781,0,4.0,3,1.0,1.0,4.0,1.0,7.0,0.0,1.0,2.0,4.0,2.0,4.0,no,no,no
9,19.0104211,-98.2228552,2,4.0,4,1.0,1.0,4.0,1.0,7.0,0.0,1.0,2.0,4.0,2.0,4.0,no,no,no
10,19.0109276,-98.2224859,1,2.0,4,1.0,1.0,4.0,1.0,7.0,0.0,1.0,2.0,4.0,2.0,4.0,no,no,no
11,19.0120445,-98.2219291,0,2.0,5,1.0,1.0,5.0,1.0,7.0,0.0,1.0,2.0,4.0,3.0,5.0,no,no,yes
12,19.0133255,-98.2211838,0,4.0,4,1.0,1.0,5.0,1.0,7.0,0.0,1.0,2.0,4.0,3.0,5.0,no,no,yes
13,19.0135566,-98.2210565,1,2.0,4,0.0,0.0,4.0,1.0,7.0,0.0,1.0,0.0,4.0,2.0,4.0,no,no,no
